序号,英语,汉语
1,Walmart,沃尔玛
2,hanbok,韩服
3,Theresa,特雷莎
4,Kandahar,坎大哈
5,Hamas,哈马斯
6,Sanyinjiao,三阴交
7,Erlitou,二里头
8,Nanguo,南果梨
9,Liverpool,利物浦
10,Shanghai,上海
11,Mengniu,蒙牛
12,Yili,伊利
13,saline,生理盐水
14,Beijing,北京
15,london,伦敦
16,Berkeley,伯克利
17,Vladivostok,符拉迪沃斯托克
18,Omaha,奥马哈
19,Memphis,孟斐斯
20,Manhattan,曼哈顿
21,Hefei,合肥
22,leader,领导人
23,Shanxi,山西
24,Austin,奥斯汀
25,Odom,奥多姆
26,Michigan,密歇根
27,Beijing,北京市
28,Qingdao,青岛
29,Obama's,奥巴马
30,Uppsala,乌普萨拉
31,titer,滴度
32,Minshan,岷山
33,Doha,多哈
34,Ningbo,宁波
35,Hangzhou,杭州
36,Weihai,威海
37,Hubei,湖北省
38,Beihang`s,北航
39,Modena,摩德纳
40,Palestinian,巴勒斯坦
41,Tarullo,塔鲁洛
42,Jiangsu,江苏
43,Osasuna,奥萨苏纳
44,Wudang,武当山
45,Xiangfan,襄樊
46,Langfang,廊坊市
47,Bangguo,吴邦国
48,Panyu,番禺
49,Newcastle,纽卡斯尔
50,Nancy,南希
51,Xinjiang,新疆
52,Obama,奥巴马
53,Yeltsin's,叶利钦
54,Jingdezhen,景德镇
55,Sumatra,苏门答腊岛
56,Jiangwan,江湾
57,Lawrence,劳伦斯
58,Wyatt,怀亚特
59,Donghe,东河
60,Murdoch,默多克
61,Brooks,布鲁克斯
62,Murdoch's,默多克
63,Turin,都灵
64,Norfolk,诺福克
65,sandbody,砂体
66,Mombasa,蒙巴萨
67,O'Brien,奥布莱恩
68,Wuling,五菱
69,Levi,利未
70,Greenspan,格林斯潘
71,Palpatine,帕尔帕丁
72,Yoda,尤达
73,Yunnan,云南
74,Libyans,利比亚人
75,WalMart,沃尔玛
76,Heidegger,海德格尔
77,Sichuan,四川
78,Xi'an,西安
79,Lampedusa,兰佩杜沙
80,Mettler,梅特勒
81,LONDON,伦敦
82,Ladakh,拉达克
83,Chengdu,成都
84,Luoping,罗平
85,Jiangdu,江都
86,Arghandab,阿尔甘达布
87,Reagan,里根
88,Baidu,百度
89,Sohu,搜狐
90,Xishan,锡山市
91,Pittsburgh,匹兹堡
92,Maserati,玛莎拉蒂
93,Luanhe,滦河
94,Tanggu,塘沽
95,Tanlu,郯庐
96,Venezuela,委内瑞拉
97,Reagan,雷根
98,servo,伺服
99,typhoon,台风
100,Lijiang,丽江
101,Turkmenistan,土库曼斯坦
102,Xinhua,新华社
103,Turing,图灵
104,Ohio,俄亥俄州
105,Ghibli,吉卜力
106,Williams,威廉姆斯
107,Sam,萨姆
108,Gwadar,瓜达尔
